#Teff,Styp,nH,U,dZ,T_H0,T_H+,T_H2
41540,5,1.75,-1,0,3.726,3.725,3.729
43419,4,1.75,-1,0,3.743,3.742,3.746
44616,3,1.75,-1,0,3.874,3.814,3.579
30488,9.5,1,-3,0.5,3.056,3.056,3.056
31524,9,1,-3,0.5,3.091,3.091,3.091
32522,8.5,1,-3,0.5,3.128,3.128,3.128
33383,8,1,-3,0.5,3.162,3.162,3.162
34419,7.5,1,-3,0.5,3.203,3.203,3.203
35531,7,1,-3,0.5,3.233,3.233,3.233
36826,6.5,1,-3,0.5,3.25,3.25,3.25
38151,6,1,-3,0.5,3.264,3.264,3.264
40062,5.5,1,-3,0.5,3.277,3.277,3.277
41540,5,1,-3,0.5,3.286,3.286,3.286
43419,4,1,-3,0.5,3.299,3.299,3.299
44616,3,1,-3,0.5,3.308,3.308,3.308
30488,9.5,1,-2,0.5,3.243,3.243,3.243
31524,9,1,-2,0.5,3.263,3.263,3.263
32522,8.5,1,-2,0.5,3.275,3.275,3.275
33383,8,1,-2,0.5,3.274,3.274,3.274
34419,7.5,1,-2,0.5,3.258,3.258,3.258
35531,7,1,-2,0.5,3.219,3.219,3.219
36826,6.5,1,-2,0.5,3.163,3.163,3.163
38151,6,1,-2,0.5,3.11,3.11,3.11
40062,5.5,1,-2,0.5,3.071,3.071,3.071
41540,5,1,-2,0.5,3.077,3.077,3.077
43419,4,1,-2,0.5,3.091,3.091,3.091
44616,3,1,-2,0.5,3.102,3.102,3.102
30488,9.5,1,-1,0.5,3.199,3.199,3.199
31524,9,1,-1,0.5,3.158,3.158,3.158
32522,8.5,1,-1,0.5,3.11,3.11,3.11
33383,8,1,-1,0.5,3.065,3.065,3.065
34419,7.5,1,-1,0.5,3.015,3.015,3.015
35531,7,1,-1,0.5,2.976,2.976,2.976
36826,6.5,1,-1,0.5,2.947,2.947,2.947
38151,6,1,-1,0.5,2.94,2.94,2.94
40062,5.5,1,-1,0.5,2.972,2.972,2.972
41540,5,1,-1,0.5,2.986,2.986,2.986
43419,4,1,-1,0.5,3.01,3.01,3.01
44616,3,1,-1,0.5,3.028,3.028,3.028
30488,9.5,1.25,-3,0.5,3.093,3.093,3.093
31524,9,1.25,-3,0.5,3.128,3.128,3.128
32522,8.5,1.25,-3,0.5,3.164,3.164,3.164
33383,8,1.25,-3,0.5,3.196,3.196,3.196
34419,7.5,1.25,-3,0.5,3.235,3.235,3.235
35531,7,1.25,-3,0.5,3.263,3.263,3.263
36826,6.5,1.25,-3,0.5,3.277,3.277,3.277
38151,6,1.25,-3,0.5,3.289,3.289,3.289
40062,5.5,1.25,-3,0.5,3.298,3.298,3.298
41540,5,1.25,-3,0.5,3.307,3.307,3.307
43419,4,1.25,-3,0.5,3.319,3.319,3.319
44616,3,1.25,-3,0.5,3.328,3.328,3.328
30488,9.5,1.25,-2,0.5,3.279,3.279,3.279
31524,9,1.25,-2,0.5,3.294,3.294,3.294
32522,8.5,1.25,-2,0.5,3.301,3.301,3.301
33383,8,1.25,-2,0.5,3.297,3.297,3.297
34419,7.5,1.25,-2,0.5,3.278,3.278,3.278
35531,7,1.25,-2,0.5,3.238,3.238,3.238
36826,6.5,1.25,-2,0.5,3.181,3.181,3.181
38151,6,1.25,-2,0.5,3.128,3.128,3.128
40062,5.5,1.25,-2,0.5,3.09,3.09,3.09
41540,5,1.25,-2,0.5,3.097,3.097,3.097
43419,4,1.25,-2,0.5,3.11,3.11,3.11
44616,3,1.25,-2,0.5,3.121,3.121,3.121
30488,9.5,1.25,-1,0.5,3.215,3.215,3.215
31524,9,1.25,-1,0.5,3.173,3.173,3.173
32522,8.5,1.25,-1,0.5,3.124,3.124,3.124
